item_id,similar_items,similar_scores
20,17 13261 19 4512 16 18 1583 8404 6195 10327,0.840413 0.796962 0.796962 0.796962 0.750051 0.528821 0.516186 0.514426 0.410252 0.410252
21,7381 8120 11217 14874 11214 9833 13949 9721 4267 2915,0.803577 0.646685 0.574627 0.519928 0.440368 0.422323 0.420167 0.419790 0.418550 0.417880
22,13836 12097 2111 3879 10618 23 1752 9607 14327 10878,0.359692 0.354984 0.308742 0.302341 0.298536 0.280949 0.253297 0.246706 0.240874 0.236323
23,12097 2111 1752 3879 22 15159 13438 10618 9517 7267,0.458541 0.371681 0.370909 0.366698 0.280949 0.270963 0.269372 0.258118 0.251059 0.246620
24,8254 8000 6759 3256 689 9920 7892 7807 12237 11100,0.299334 0.249680 0.246167 0.232765 0.222394 0.219961 0.217973 0.209421 0.204333 0.199764
25,7441 5304 7556 12975 12170 11268 9482 2796 10085 7555,0.460728 0.386535 0.386035 0.312841 0.292590 0.283674 0.280740 0.276563 0.275936 0.269203
26,4255 7992 3765 2072 8297 3549 3740 2590 3243 3527,0.996801 0.773651 0.512616 0.512616 0.511395 0.502705 0.448619 0.420090 0.410191 0.409732
27,11938 8348 11939 3790 11937 3406 11936 6468 851 5236,0.870856 0.779548 0.762565 0.746092 0.743362 0.730718 0.690027 0.459231 0.330248 0.281483
28,9922 2750 9709 2506 11976 2515 6898 2193 5301 996,0.444813 0.443243 0.440289 0.428506 0.421910 0.413028 0.403716 0.401218 0.401136 0.400296
29,9502 5589 9984 3507 14303 715 1491 7552 10851 11997,0.630108 0.542881 0.381072 0.370486 0.354038 0.349582 0.335038 0.327351 0.315066 0.311815
30,2099 31 8289 3978 7189 3606 3836 896 3299 11083,0.546805 0.445819 0.388950 0.363295 0.351299 0.344304 0.331809 0.324923 0.312296 0.302794
31,30 2099 7189 4192 2338 8289 5951 4831 7193 475,0.445819 0.445410 0.387180 0.363506 0.355916 0.331061 0.315975 0.309803 0.265768 0.239656
32,952 6772 933 943 12113 6721 7552 4359 916 935,0.469972 0.461543 0.397792 0.396648 0.361174 0.300608 0.288931 0.278533 0.277656 0.276846
33,3160 5236 11478 2520 11376 8872 11059 61 8776 8722,0.957798 0.710319 0.677059 0.649562 0.649562 0.649562 0.649562 0.649562 0.649562 0.649562
34,3718 3409 8499 9470 10895 3620 7632 7127 8299 9065,0.439068 0.393050 0.393050 0.360883 0.344846 0.317424 0.315554 0.313737 0.307672 0.284053
35,8680 14311 5126 13741 1511 12577 459 10044 2655 11787,0.569395 0.505149 0.504404 0.371682 0.348612 0.327366 0.320906 0.315723 0.308324 0.299487
36,6467 10475 12336 9499 7331 4908 11942 2739 10390 10544,0.697014 0.553565 0.486678 0.403369 0.363573 0.342201 0.325373 0.320187 0.315787 0.290613
37,9305 1960 8422 7926 5794 6002 10985 2327 7157 10557,0.763727 0.639885 0.638048 0.559346 0.532120 0.498994 0.449855 0.431759 0.335930 0.259906
38,10201 9440 6338 4046 13906 6049 2555 8337 8919 2536,0.617144 0.577934 0.526334 0.362978 0.355247 0.339615 0.313970 0.300471 0.298977 0.296038
39,11162 9690 2790 7995 10037 3702 3724 4786 2247 5766,0.413481 0.352956 0.351798 0.290671 0.285795 0.259465 0.232610 0.227772 0.211183 0.210349
40,9924 13751 3179 6896 8776 2554 11379 14825 11481 6892,0.511151 0.368733 0.342460 0.315757 0.315757 0.315757 0.315757 0.315757 0.315757 0.315757
41,10016 13042 61 5233 1350 140 8872 11379 2520 3818,0.689034 0.495706 0.495706 0.495706 0.495706 0.495706 0.495706 0.495706 0.495706 0.495706
42,1334 14303 10475 8505 8750 3930 10272 13373 5236 1688,0.565047 0.552934 0.535876 0.483510 0.467136 0.409786 0.396167 0.378523 0.376874 0.365140
43,8796 1737 6336 3293 1055 2693 6195 10327 3454 7907,1.000000 1.000000 0.848311 0.755356 0.657599 0.657599 0.657599 0.657599 0.645216 0.630945
44,13912 15211 7118 14875 81 78 14979 14406 10820 15212,0.935382 0.816046 0.816046 0.816046 0.816046 0.816046 0.816046 0.816046 0.816046 0.816046
45,100 2189 10891 4901 2788 11563 11391 9775 4904 4903,0.717903 0.666212 0.552273 0.538830 0.508444 0.475405 0.467605 0.454308 0.451723 0.451501
46,1101 10632 11702 5127 10688 8328 1576 2960 6339 8760,0.402274 0.354378 0.337037 0.330586 0.317257 0.303738 0.302447 0.292313 0.281331 0.276099
47,9390 11759 7800 7185 2498 10296 8704 12021 4509 13048,1.000000 0.771061 0.660604 0.653003 0.616803 0.569114 0.509802 0.449145 0.373434 0.366065
48,13179 14181 6537 1350 14825 4866 8872 5233 11481 13890,0.448387 0.408370 0.396750 0.382556 0.382556 0.382556 0.382556 0.382556 0.382556 0.382556
49,3796 9932 7295 3214 9340 177 12446 2521 11442 5750,0.337119 0.333589 0.323787 0.301076 0.298527 0.293347 0.291646 0.276360 0.267255 0.263525
50,715 1491 6201 2770 3308 11809 10593 12158 334 12869,0.441694 0.383280 0.379588 0.338760 0.338642 0.330487 0.324339 0.320066 0.317008 0.310108
51,5236 3818 4866 11481 12222 4635 2551 11379 8722 11376,0.731353 0.668796 0.668796 0.668796 0.668796 0.668796 0.668796 0.668796 0.668796 0.668796
52,15212 10715 78 4432 81 11313 10820 7118 7159 14619,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
53,4426 15013 80 8475 91 11718 8413 7111 7134 7124,0.967628 0.745392 0.745392 0.745392 0.727460 0.718749 0.675610 0.663682 0.635693 0.629612
54,15211 14875 7159 15247 10820 14406 14979 10715 52 15212,0.805510 0.805510 0.805510 0.805510 0.805510 0.805510 0.805510 0.805510 0.805510 0.805510
55,68 13953 10876 11866 11376 3818 11059 13042 2536 14825,0.872306 0.501671 0.475644 0.423820 0.347019 0.347019 0.347019 0.347019 0.347019 0.347019
56,11473 2505 3817 1373 14669 14344 7733 113 14514 9685,0.534245 0.524769 0.487676 0.482990 0.456958 0.404382 0.365502 0.364458 0.357542 0.348739
57,3047 15157 6311 9553 3802 9552 14649 10791 14650 6412,0.593337 0.551017 0.535136 0.530382 0.522728 0.508333 0.433324 0.380299 0.258376 0.226552
58,771 15013 80 8475 11718 11737 7111 3365 9357 7124,0.627583 0.603918 0.603918 0.603918 0.582332 0.538771 0.537717 0.528224 0.520957 0.510113
59,54 4259 8776 11376 13042 2185 14825 12222 11059 2536,0.564745 0.546298 0.454630 0.454630 0.454630 0.454630 0.454630 0.454630 0.454630 0.454630
60,6823 5670 2631 1888 12641 9269 8738 3027 11756 12792,0.584268 0.525351 0.519107 0.507546 0.504355 0.467768 0.447465 0.432313 0.222770 0.200434
61,6896 2503 6892 2554 2513 4866 3742 11059 2185 8872,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
62,11634 10844 13828 13378 5442 12677 12676 10845 8610 13359,0.587007 0.405307 0.388939 0.381083 0.367086 0.365867 0.365867 0.332416 0.327187 0.318460
63,12085 11481 2513 3818 12222 2536 140 3742 8722 2185,0.663534 0.585839 0.585839 0.585839 0.585839 0.585839 0.585839 0.585839 0.585839 0.585839
64,3742 8722 2554 2185 11876 5233 11481 14825 12222 13042,0.689832 0.689832 0.689832 0.689832 0.689832 0.689832 0.689832 0.689832 0.689832 0.689832
65,1089 12134 9032 13268 5827 2359 3348 5334 9315 11482,0.376123 0.304855 0.256148 0.247838 0.232781 0.229278 0.211210 0.210358 0.197209 0.179469
66,10177 7371 12436 4245 14870 12434 6522 61 14825 11876,0.646976 0.610351 0.439604 0.437090 0.414571 0.394941 0.392173 0.320893 0.320893 0.320893
67,10018 9046 6902 8048 8764 2933 4370 9268 7723 10888,0.440122 0.424619 0.409294 0.360395 0.359979 0.348771 0.328334 0.315676 0.307518 0.295276
68,55 10876 11866 11379 11876 14825 2520 11059 2185 4635,0.872306 0.545272 0.485861 0.397818 0.397818 0.397818 0.397818 0.397818 0.397818 0.397818
69,11734 9917 5141 3408 10017 3456 8568 11876 2554 14825,0.487976 0.481681 0.457199 0.457199 0.457199 0.457199 0.429037 0.413233 0.413233 0.413233
70,4003 68 11168 55 9932 10571 4495 2492 2866 12014,0.392661 0.341381 0.319765 0.297789 0.286803 0.283731 0.282051 0.275538 0.268115 0.218852
71,5421 3044 10784 1752 2271 4863 11466 3043 8377 2560,1.000000 0.810674 0.496241 0.435086 0.415115 0.412254 0.402289 0.354854 0.350684 0.333041
72,15179 12197 13957 7913 13976 5084 10079 10430 13691 10877,0.461762 0.456117 0.386122 0.251012 0.218319 0.211612 0.209891 0.197136 0.195835 0.191905
73,13984 7546 3074 4328 10843 3668 13111 1003 3416 9195,0.453772 0.442298 0.425417 0.400326 0.395511 0.382814 0.362106 0.362106 0.352705 0.351470
74,10225 7462 13168 14954 4469 4487 2986 10214 4313 5943,0.544327 0.497492 0.492851 0.474437 0.450997 0.447240 0.446938 0.446057 0.436825 0.428527
75,7159 8587 15247 8050 15212 12062 112 15211 78 81,0.826308 0.826308 0.826308 0.826308 0.826308 0.826308 0.826308 0.826308 0.826308 0.826308
76,4432 12062 52 15067 7118 15112 81 7159 78 14406,0.832695 0.832695 0.832695 0.832695 0.832695 0.832695 0.832695 0.832695 0.832695 0.832695
77,13042 11481 11059 14825 13890 4635 3742 5233 8872 2554,0.683761 0.683761 0.683761 0.683761 0.683761 0.683761 0.683761 0.683761 0.683761 0.683761
78,7159 7118 15211 4432 81 11313 10820 15212 14619 15067,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
79,15215 14875 14406 14619 11313 15247 15212 15211 7159 14979,0.708193 0.695376 0.695376 0.695376 0.695376 0.695376 0.695376 0.695376 0.695376 0.695376
80,8475 15013 11718 7111 7124 14850 13388 11126 53 12427,1.000000 1.000000 0.964256 0.890381 0.844673 0.831350 0.821396 0.815826 0.745392 0.736293
81,52 12062 15247 7114 78 4432 11313 10820 10715 14979,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
82,13890 2536 1350 2554 4635 2185 2551 11379 13042 11376,0.632565 0.632565 0.632565 0.632565 0.632565 0.632565 0.632565 0.632565 0.632565 0.632565
83,6054 12663 10300 6148 7357 6702 10306 9452 7822 6845,0.648155 0.561967 0.545122 0.534412 0.527877 0.505962 0.503901 0.463267 0.455082 0.447492
84,245 8453 6379 3408 5141 3456 10017 3206 4347 3017,0.377735 0.371113 0.359062 0.347996 0.347996 0.347996 0.347996 0.347129 0.342719 0.325084
85,4868 865 887 2772 864 3298 13720 11096 7039 411,0.753388 0.692651 0.654893 0.572749 0.515151 0.329151 0.249061 0.219254 0.203415 0.186909
86,64 4969 9944 4866 6896 11876 13042 6892 2554 5233,0.460681 0.387563 0.363320 0.317792 0.317792 0.317792 0.317792 0.317792 0.317792 0.317792
87,5661 1350 11059 12222 11876 2554 2551 2536 3742 11481,0.697664 0.533311 0.533311 0.533311 0.533311 0.533311 0.533311 0.533311 0.533311 0.533311
88,1296 11211 8523 2485 5222 9595 10872 3329 3475 2484,0.412042 0.386162 0.368265 0.368265 0.364938 0.353512 0.350834 0.341378 0.332978 0.326378
89,8039 6737 7252 14496 8043 12595 14094 2107 1916 133,0.432359 0.376168 0.236505 0.231010 0.229596 0.211692 0.209695 0.207147 0.206816 0.195642
90,14893 13948 14873 10592 392 7373 11217 8198 4960 7381,0.393618 0.375417 0.360597 0.350426 0.317078 0.307962 0.288364 0.279463 0.275135 0.268410
91,7134 14578 3063 53 4426 15288 113 8413 11392 8999,0.873852 0.859497 0.746704 0.727460 0.703910 0.598600 0.559924 0.491479 0.481248 0.405682
92,8797 10715 15211 4432 14406 10820 52 78 81 14619,1.000000 0.972608 0.972608 0.972608 0.972608 0.972608 0.972608 0.972608 0.972608 0.972608
93,14558 7121 11378 15045 9043 11185 13016 101 14550 14296,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
94,2986 10214 10225 10289 7462 13168 313 5119 10912 14954,0.585368 0.564669 0.500358 0.467001 0.454519 0.453040 0.450941 0.430565 0.398403 0.388624
95,14049 14850 2030 4436 14898 15184 93 101 9119 14876,0.693257 0.643701 0.593136 0.587257 0.504580 0.504580 0.504580 0.504580 0.504580 0.504580
96,9932 9099 2958 6255 13902 4482 2534 3796 5308 4946,0.511048 0.453871 0.407320 0.400003 0.379967 0.373290 0.365731 0.357804 0.357624 0.354523
97,12094 12054 4814 514 9282 5096 2028 3279 11376 11379,0.705733 0.498102 0.431083 0.424242 0.392878 0.386818 0.381887 0.374931 0.366471 0.366471
98,10126 7340 2653 2291 8533 8418 1686 7341 9051 5452,0.760173 0.639509 0.633787 0.603569 0.596524 0.596524 0.590411 0.585232 0.584931 0.583274
99,13436 2521 2570 8463 9922 9709 6898 2506 2515 2193,0.769009 0.729694 0.723912 0.711850 0.649376 0.642771 0.639600 0.625569 0.602972 0.585732
100,45 2189 10891 4901 2788 3731 11563 11391 4903 9775,0.717903 0.554185 0.477571 0.465947 0.439671 0.432021 0.411101 0.404356 0.397113 0.392857
101,12810 7121 11378 15045 9043 11185 13016 14558 14550 14296,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
102,10239 3197 9683 7961 7960 5395 2607 5179 6091 11115,0.500141 0.446155 0.423496 0.346908 0.332161 0.308659 0.268543 0.265309 0.232455 0.222794
103,3750 12522 8556 6562 15064 10800 4283 12810 9119 14876,0.646425 0.476605 0.419150 0.349168 0.334527 0.333871 0.274117 0.261625 0.261625 0.261625
104,4236 3478 1974 4503 8447 11677 2355 13226 7256 10135,0.403999 0.384002 0.365599 0.347224 0.321009 0.311575 0.280737 0.276109 0.270887 0.270694
105,12515 15184 14382 11314 11185 13016 14558 14876 12810 14550,0.516969 0.503437 0.503437 0.503437 0.503437 0.503437 0.503437 0.503437 0.503437 0.503437
106,5539 14550 15045 14898 9119 11378 14382 7121 2204 3055,0.579084 0.515656 0.515656 0.515656 0.515656 0.515656 0.515656 0.515656 0.515656 0.515656
107,5512 1805 6031 10306 8106 11243 11990 1644 6292 2940,0.468543 0.404373 0.396639 0.393059 0.335939 0.324370 0.300586 0.280548 0.272046 0.254269
108,14605 111 14604 15066 12784 11378 14382 2204 3055 9043,1.000000 0.671155 0.671155 0.614971 0.540727 0.536115 0.536115 0.536115 0.536115 0.536115
109,15290 5093 5105 5104 5103 5102 5101 5100 5099 5098,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
110,15013 80 8475 7111 11718 7116 7124 14850 13388 11126,0.725264 0.725264 0.725264 0.724830 0.699341 0.626726 0.612611 0.602949 0.595730 0.591689
111,14604 15066 112 14979 15067 8050 15247 81 78 4432,1.000000 0.916288 0.824026 0.824026 0.824026 0.824026 0.824026 0.824026 0.824026 0.824026
112,52 14406 15247 7114 78 4432 11313 81 10820 10715,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
113,91 7134 14578 11473 3063 14669 53 4426 2505 56,0.559924 0.489291 0.481253 0.478865 0.418098 0.409589 0.407322 0.394136 0.380778 0.364458
114,2527 8050 14979 52 8587 112 12062 7114 15247 15212,0.882111 0.830445 0.830445 0.830445 0.830445 0.830445 0.830445 0.830445 0.830445 0.830445
115,11204 5507 1545 12053 7906 6893 6048 11089 7164 13517,0.594660 0.516785 0.468171 0.464751 0.460577 0.447930 0.445928 0.412590 0.398310 0.374608
116,11719 11479 12140 13313 12139 9994 11377 2192 2513 11481,0.928323 0.928323 0.876659 0.819289 0.818421 0.576024 0.557147 0.421478 0.276751 0.276751
117,7039 2131 463 2033 3322 5393 5661 5579 4433 8283,0.623809 0.538193 0.536025 0.514148 0.470492 0.419534 0.411065 0.409866 0.401211 0.393089
118,11174 5574 11863 5661 6594 10424 5236 2976 13890 4635,0.566311 0.547985 0.535690 0.511187 0.504869 0.461046 0.427315 0.418171 0.390764 0.390764
119,2485 8523 3329 5828 13780 10551 2484 2494 11667 186,0.540343 0.540343 0.473488 0.458346 0.456332 0.451456 0.442202 0.408988 0.386320 0.383547
120,2789 8523 2485 3329 5579 2484 8283 2131 3339 2033,0.516755 0.397706 0.397706 0.368669 0.337634 0.325472 0.323813 0.322890 0.313821 0.308464
121,9864 5543 6927 123 781 9863 804 4715 4763 9227,0.559247 0.495700 0.461172 0.451114 0.436637 0.434645 0.400947 0.393365 0.385733 0.368844
122,139 9811 6030 1291 5437 1255 204 9704 8577 663,0.512287 0.371417 0.323072 0.317743 0.299611 0.299611 0.277044 0.271317 0.268036 0.268036
123,9864 9863 5543 121 6927 4715 804 781 9227 14867,0.515088 0.480405 0.473368 0.451114 0.440396 0.375643 0.355423 0.348665 0.311479 0.263541
124,13781 4981 3282 4916 13073 3379 10262 12206 12886 1288,0.514542 0.458483 0.371270 0.340815 0.325708 0.303997 0.301344 0.300252 0.300252 0.300252
125,11715 3571 8628 8629 2613 14600 2612 15110 13451 11714,0.566729 0.464319 0.448547 0.448547 0.439094 0.438869 0.436893 0.430187 0.420925 0.413697
126,216 6382 8201 167 11550 6046 4179 4200 5972 7516,0.715936 0.689483 0.667315 0.478425 0.461026 0.445505 0.319068 0.318474 0.310259 0.309705
127,9200 8876 7520 1837 13401 5104 5103 5102 5101 5100,0.525604 0.422885 0.246310 0.189656 0.170933 0.000000 0.000000 0.000000 0.000000 0.000000
128,6821 3042 8865 1981 6030 4000 770 4230 8762 3791,0.947150 0.804228 0.802042 0.733091 0.732258 0.706948 0.659621 0.647348 0.613116 0.608403
129,9496 3565 9066 4744 137 3825 9096 5223 10675 7073,0.457051 0.455095 0.381902 0.347368 0.317634 0.311118 0.304353 0.301156 0.295090 0.292976
130,11817 3462 8500 3225 7504 11953 13196 10016 2446 9921,0.491650 0.479904 0.446881 0.438590 0.438538 0.435793 0.407724 0.396250 0.392354 0.380332
131,10712 3149 10383 10382 10380 10053 11393 8591 10014 1104,0.739370 0.648636 0.615994 0.610025 0.607331 0.604941 0.604103 0.579868 0.541693 0.536145
132,15174 8474 13767 2536 3818 6892 2503 2551 3742 13042,0.625730 0.560059 0.478888 0.476161 0.476161 0.476161 0.476161 0.476161 0.476161 0.476161
133,5053 2317 8468 4182 4232 10886 9250 2107 3915 5030,0.468755 0.461340 0.445067 0.420454 0.375696 0.370951 0.315287 0.313874 0.296357 0.296357
134,12828 1911 5036 7917 10362 14963 2786 14949 8626 8543,0.420812 0.415588 0.383673 0.327321 0.319766 0.317280 0.299113 0.251396 0.200710 0.180964
135,11246 1524 10969 13776 4716 11247 3490 668 11775 11610,0.601295 0.527601 0.475007 0.377092 0.360066 0.355006 0.279986 0.279109 0.274021 0.272519
136,10377 10376 7764 742 2524 10378 8501 3399 743 10013,0.622091 0.578076 0.572475 0.554629 0.552500 0.516983 0.515657 0.514643 0.485215 0.456468
137,9496 4744 3867 9096 5223 2473 10675 3825 11942 3641,0.694964 0.528186 0.478787 0.462779 0.457920 0.445573 0.439258 0.434579 0.429694 0.420163
138,10161 3736 4113 4932 5068 8433 7428 15040 8283 9000,0.565858 0.506398 0.480570 0.416576 0.416576 0.416576 0.416576 0.416576 0.414088 0.408123
139,6030 8577 663 3201 122 8461 5055 468 9162 1233,0.646733 0.536560 0.536560 0.525574 0.512287 0.350545 0.339884 0.338076 0.336681 0.336681
140,8722 6892 11059 2513 2520 4866 3742 2551 2554 2503,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
141,180 2021 204 14201 14443 14575 6581 9893 12298 13215,0.643115 0.569523 0.518212 0.410500 0.410500 0.410500 0.410500 0.395101 0.392212 0.363847
142,162 6033 2309 1404 6296 6590 169 323 6466 624,0.827339 0.801515 0.758075 0.747437 0.712470 0.698585 0.692538 0.687346 0.682580 0.677571
143,170 1574 2765 176 168 11081 9314 6013 7310 10919,0.811879 0.726806 0.725972 0.720972 0.720485 0.715742 0.696274 0.694382 0.635010 0.618896
144,12886 12206 1288 14827 7560 9222 14263 1499 11095 14689,0.575600 0.575600 0.575600 0.539822 0.527950 0.500762 0.483433 0.475349 0.411640 0.369384
145,4026 15241 1233 214 2228 761 7918 778 10920 9711,0.697277 0.614903 0.400576 0.400576 0.400576 0.400576 0.400576 0.400576 0.400576 0.400576
146,993 5965 12013 501 5051 8314 13735 3221 5611 3404,0.345463 0.335933 0.309343 0.299940 0.290361 0.287384 0.276646 0.268951 0.256878 0.244547
147,3349 8099 3826 1123 8100 8103 7795 13063 11187 9494,0.689426 0.601225 0.366698 0.325131 0.298478 0.294477 0.292317 0.265873 0.260569 0.255428
148,1413 3215 1250 690 12892 1049 1237 2733 7037 4979,0.758263 0.718952 0.714482 0.704484 0.591785 0.534348 0.502367 0.499121 0.480585 0.469868
149,162 6033 2309 1404 3195 6296 6590 169 323 142,0.711168 0.688457 0.651144 0.642486 0.639954 0.612429 0.600493 0.595295 0.590391 0.588377
150,12961 3989 12016 13198 15103 8793 9885 6264 14392 322,0.339102 0.324619 0.310908 0.304837 0.301383 0.290689 0.255007 0.253463 0.250016 0.206612
151,11556 5754 152 11561 11562 158 10371 3596 156 155,0.828342 0.742814 0.739913 0.737942 0.728370 0.700888 0.666733 0.658754 0.650364 0.604508
152,11556 5754 11561 11562 151 158 45 100 6907 2189,0.850737 0.762897 0.757894 0.747471 0.739913 0.716683 0.447706 0.387148 0.381632 0.368714
153,10371 3596 156 155 3595 10372 10370 5718 151 10284,0.768034 0.758843 0.749178 0.742990 0.675726 0.660137 0.648889 0.591271 0.512073 0.357488
154,6128 8617 2597 5634 5457 9430 157 14676 14035 173,0.554175 0.481755 0.480147 0.480085 0.478887 0.478391 0.473686 0.454445 0.445808 0.441523
155,10371 3596 156 3595 10372 10370 153 151 10373 10476,0.906672 0.895822 0.884413 0.797702 0.779299 0.766020 0.742990 0.604508 0.404626 0.336012
156,10371 3596 155 3595 10372 10370 153 151 10373 11556,0.975450 0.963777 0.884413 0.858214 0.838414 0.824129 0.749178 0.650364 0.435320 0.355808
157,2597 160 5634 14367 6128 9430 8617 2599 14035 154,0.614308 0.594166 0.569922 0.552497 0.516911 0.499896 0.493530 0.491023 0.481015 0.473686
158,5754 11561 11562 11556 152 151 6907 9526 6762 10371,0.862594 0.856937 0.843328 0.802335 0.716683 0.700888 0.339631 0.315621 0.313342 0.289964
159,5236 13042 8776 13890 61 4635 14825 1350 8722 2513,0.531192 0.485756 0.485756 0.485756 0.485756 0.485756 0.485756 0.485756 0.485756 0.485756
160,157 2597 6128 6003 14676 9484 8617 10077 5634 173,0.594166 0.558502 0.543802 0.507797 0.460482 0.449776 0.435791 0.428198 0.418623 0.407801
161,14551 4637 8793 2579 5632 14059 4853 8872 2554 11481,0.668695 0.595043 0.526144 0.455258 0.433547 0.373526 0.347822 0.330676 0.330676 0.330676
162,6033 2309 1404 6296 6590 169 323 142 6466 624,0.968787 0.916281 0.903423 0.861159 0.844376 0.837066 0.830791 0.827339 0.825031 0.818976
163,10485 11333 1100 7542 3071 6405 488 4395 3201 13882,0.420265 0.412535 0.407466 0.405526 0.328526 0.314932 0.305352 0.298696 0.295898 0.292476
164,15076 739 4993 14377 8274 11126 11158 1639 748 2213,0.543048 0.492648 0.467212 0.411482 0.411482 0.394784 0.384236 0.338136 0.301441 0.296394
165,13047 14390 3677 5528 12774 2305 171 12615 8832 13325,0.614123 0.450555 0.422051 0.416537 0.394116 0.383275 0.376986 0.344821 0.339493 0.290521
166,5001 8368 14603 9320 3066 4184 1966 11483 181 13074,0.465830 0.434361 0.399500 0.390069 0.337664 0.337664 0.293885 0.292157 0.292004 0.284290
167,8201 216 6382 126 11550 4201 4083 14215 13514 6046,0.633244 0.560941 0.521554 0.478425 0.454256 0.442183 0.397369 0.396105 0.373105 0.363193
168,6013 1574 176 2765 11081 170 9314 143 7310 10919,0.843271 0.787862 0.781538 0.777813 0.766853 0.757688 0.754765 0.720485 0.688355 0.670887
169,1404 162 6033 2309 6296 6590 323 142 6466 624,0.926549 0.837066 0.810939 0.766988 0.720847 0.706798 0.695427 0.692538 0.690605 0.685537
170,143 1574 176 168 2765 11081 9314 6013 7310 10919,0.811879 0.791947 0.771887 0.757688 0.754586 0.743953 0.732227 0.730237 0.679855 0.650854
171,2305 162 6033 2309 1404 6296 323 6590 6466 169,0.984125 0.809407 0.799140 0.755828 0.731237 0.697028 0.685309 0.683443 0.680557 0.677527
