i,Title,Author,description,api_title,api_authors,api_source,api_query
18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 / is a book from the catalog. It is associated with the following themes: Amsterdam (Pays-Bas), Amsterdam (Pays-Bas, région), Rotterdam (Pays-Bas), Delft (Pays-Bas), La Haye (Pays-Bas). The book is published by Hachette Livre.",,,Local metadata fallback,
19,Pays-Bas,,"Pays-Bas is a book from the catalog. It is associated with the following themes: Pays-Bas, Guides touristiques et de visite. The book is published by Michelin.",,,Local metadata fallback,
20,Amsterdam /,"Catling, Christopher","Amsterdam / is a book by Catling, Christopher. It is associated with the following themes: Amsterdam (Pays-Bas), [Guides touristiques et de visite]. The book is published by National geographic.",,,Local metadata fallback,
21,Histoire des Etats-Unis /,"Durpaire, François","Histoire des Etats-Unis / is a book by Durpaire, François. It is associated with the following themes: États-Unis--Histoire. The book is published by Presses Universitaires de France.",,,Local metadata fallback,
22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion","C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux / is a book by Gluck, Marion. It is associated with the following themes: Santé mentale, Hormones femelles, Femmes--Santé et hygiène. The book is published by Larousse.",,,Local metadata fallback,
23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin","C'est mon corps : toutes les questions que se posent les femmes sur leur santé / is a book by Winckler, Martin. It is associated with the following themes: Women's Health, Sexuality, Reproductive Physiological Phenomena, Contraception, Professional-Patient Relations. The book is published by L'Iconoclaste.",,,Local metadata fallback,
24,Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-","Le sentiment de justice dans les relations sociales / is a book by Kellerhals, Jean, 1941-. It is associated with the following themes: justice--relations sociales, justice distributive--relations sociales, justice sociale, équité--groupe--justice--norme sociale. The book is published by Presses universitaires de France.",,,Local metadata fallback,
25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie","S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes / is a book by Fenaert, Mélanie. It is associated with the following themes: Gamification, Apprentissage par le jeu, Jeux éducatifs, Jeux d'évasion, [Guides pratiques]. The book is published by Ellipses.",,,Local metadata fallback,
26,"Pays basque : France, Espagne et Navarre",,"Pays basque : France, Espagne et Navarre is a book from the catalog. It is associated with the following themes: Pays basque (Espagne), Navarre française (France), Navarre (Espagne), Pays basque (France), Guides touristiques et de visite. The book is published by Michelin.",,,Local metadata fallback,
27,Le rapport de Brodeck /,"Larcenet, Manu","Le rapport de Brodeck / is a book by Larcenet, Manu. It is associated with the following themes: Bandes dessinées.",,,Local metadata fallback,
28,Hanbok /,"Darcq, Sophie, 1976-.....","Hanbok / is a book by Darcq, Sophie, 1976-...... It is associated with the following themes: Bandes dessinées, Adoption internationale--Bandes dessinées., Récits de voyages français--Corée--2000-...., Bandes dessinées autobiographiques--France--2000-...., Bandes dessinées autobiographiques.. The book is published by L'Apocalypse.",,,Local metadata fallback,
29,Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas","Philosophia : une histoire de la philosophie en BD / is a book by Tenaillon, Nicolas. It is associated with the following themes: Philosophes, Philosophie, Philosophie--Histoire, Bandes dessinées. The book is published by Ellipses.",,,Local metadata fallback,
30,Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....","Chaussettes : 20 modèles à tricoter toute l'année / is a book by Laitinen, Niina 19..-..... It is associated with the following themes: Bas et chaussettes, Tricot--Modèles, Manuels d'amateurs. The book is published by La Plage.",,,Local metadata fallback,
31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy","Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] / is a book by Johnson, Wendy. It is associated with the following themes: Bas et chaussettes--Tricot--Modèles, Guides pratiques. The book is published by Eyrolles.",,,Local metadata fallback,
32,Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre","Le métier de sociologue : préalables épistémologiques / is a book by Bourdieu, Pierre. It is associated with the following themes: Sociologues, Sociologie--Méthodologie, Sociologie--Pratique, Épistémologie de la sociologie, Sociology--Methodology. The book is published by Éditions EHESS.",,,Local metadata fallback,
33,Le dahlia noir /,Matz,Le dahlia noir / is a book by Matz. It is associated with the following themes: Bandes dessinées. The book is published by Payot & Rivages; Casterman.,,,Local metadata fallback,
34,Le bleu est une couleur chaude /,"Maroh, Julie","La vie de Clémentine bascule le jour où elle rencontre Emma, une jeune fille aux cheveux bleus qui lui fait découvrir toutes les facettes du désir et va lui permettre d'affronter enfin le regard des autres.",Le bleu est une couleur chaude,,Open Library ISBN,9782723467834
35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....","Dictionnaire de la pensée politique : idées, doctrines et philosophes / is a book by Nay, Olivier 1968-..... It is associated with the following themes: Idées politiques, Philosophie politique, doctrine politique--[dictionnaire], science politique--[dictionnaire], philosophie politique--[dictionnaire]. The book is published by Armand Colin.",,,Local metadata fallback,
36,Roger et ses humains /,Paka (1985-....),"Roger et ses humains / is a book by Paka (1985-....). It is associated with the following themes: Robots, Ouvrages pour la jeunesse, Bandes dessinées. The book is published by Dupuis.",,,Local metadata fallback,
37,"Simenon, l'Ostrogoth /","Bocquet, José-Louis","Simenon, l'Ostrogoth / is a book by Bocquet, José-Louis. It is associated with the following themes: Bandes dessinées, Simenon, Georges. The book is published by Dargaud.",,,Local metadata fallback,
38,Géostratégix /,"Boniface, Pascal","Géostratégix / is a book by Boniface, Pascal. It is associated with the following themes: Géopolitique., Relations internationales., Bandes dessinées. The book is published by Dunod.",,,Local metadata fallback,
39,Partir : sur les chemins de Compostelle /,"Sohn, Lili","Partir : sur les chemins de Compostelle / is a book by Sohn, Lili. It is associated with the following themes: Chemins de Saint-Jacques. The book is published by Casterman.",,,Local metadata fallback,
40,Peau d'homme /,"Hubert, 1971-","Peau d'homme / is a book by Hubert, 1971-. It is associated with the following themes: Mariages royaux et nobles--Renaissance, Différences entre sexes, Bandes dessinées. The book is published by Glénat.",,,Local metadata fallback,
41,Morgane /,"Fert, Stéphane","""Privée de son destin de reine, la demi-soeur du roi Arthur devient la sulfureuse fée Morgane et se dresse contre la tyrannie de la Table ronde et les manipulations de Merlin le fou. Écoeurée par le magicien qui joue avec sa vie depuis sa plus tendre enfance, Morgane laisse libre cours à sa colère et assouvit sa soif de pouvoir envers et contre tous : son ancien maître, les hommes, leur nouveau dieu unique et lordre établi.""--",Morgane,,Open Library ISBN,9782756070056
42,Le monde de Sophie /,"Zabus, Vincent 1971-....","Le monde de Sophie / is a book by Zabus, Vincent 1971-..... It is associated with the following themes: Philosophie, Bandes dessinées. The book is published by Albin Michel.",,,Local metadata fallback,
43,Suisse,,"Suisse is a book from the catalog. It is associated with the following themes: Suisse, Guides touristiques et de visite. The book is published by Michelin.",,,Local metadata fallback,
44,Tokyo tarareba girls /,"Higashimura, Akiko 1975","Tokyo tarareba girls / is a book by Higashimura, Akiko 1975. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Le Lézard Noir.",,,Local metadata fallback,
45,Yotsuba & ! /,"Azuma, Kiyohiko","Yotsuba & ! / is a book by Azuma, Kiyohiko. It is associated with the following themes: Mangas--Japon, Bandes dessinées, Ouvrages pour la jeunesse, Mangas. The book is published by Kurokawa.",,,Local metadata fallback,
46,Le monde sans fin /,"Jancovici, Jean-Marc","Le monde sans fin / is a book by Jancovici, Jean-Marc. It is associated with the following themes: Climate Change, Environmental Health, Environment and Public Health, Energy-Generating Resources, Graphic Novel. The book is published by Dargaud.",,,Local metadata fallback,
47,La Fille à la moto /,"Suzuki, Ôji","La Fille à la moto / is a book by Suzuki, Ôji. The book is published by Atrabile Editions.",,,Local metadata fallback,
48,Seuls en exil /,"Menor, Fabian","Seuls en exil / is a book by Menor, Fabian. It is associated with the following themes: Immigrés--Suisse, Bandes dessinées. The book is published by Helvetiq.",,,Local metadata fallback,
49,Coming in /,"Font, Elodie","Coming in / is a book by Font, Elodie. It is associated with the following themes: Homosexuality--psychology, Homosexuality, Female--psychology, Self Concept, Graphic Novel, Homosexualité. The book is published by Arte Editions; Editions Payot & Rivages.",,,Local metadata fallback,
50,Les héros de l'étoffe : la fabuleuse histoire du textile /,"Laliberté, Séverine, 1973-","Les héros de l'étoffe : la fabuleuse histoire du textile / is a book by Laliberté, Séverine, 1973-. It is associated with the following themes: Vêtements--Histoire, Mode--Histoire, Textiles et tissus--Histoire, Bandes dessinées. The book is published by Cité sciences et industrie; Steinkis.",,,Local metadata fallback,
51,Le bébé des Buttes-Chaumont /,"Tardi, Jacques","Le bébé des Buttes-Chaumont / is a book by Tardi, Jacques. It is associated with the following themes: Bandes dessinées. The book is published by Casterman.",,,Local metadata fallback,
52,Ascension /,"Sakamoto, Shin'ichi, 1972-","Ascension / is a book by Sakamoto, Shin'ichi, 1972-. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Delcourt.",,,Local metadata fallback,
53,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-","Fullmetal alchemist / is a book by Arakawa, Hiromu, 1973-. It is associated with the following themes: Shônen, Mangas, Bandes dessinées. The book is published by Kurokawa.",,,Local metadata fallback,
54,Pil /,"Yamazaki, Mari","Pil / is a book by Yamazaki, Mari. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Casterman.",,,Local metadata fallback,
55,Goán tau chez moi /,"Li-Chin, Li 1973-....","Goán tau chez moi / is a book by Li-Chin, Li 1973-..... It is associated with the following themes: Bandes dessinées. The book is published by Çà et là.",,,Local metadata fallback,
56,Soixante printemps en hiver /,"Jongh, Aimée de, 1988-","Soixante printemps en hiver / is a book by Jongh, Aimée de, 1988-. It is associated with the following themes: Minorités sexuelles, Bandes dessinées. The book is published by Dupuis.",,,Local metadata fallback,
57,Python pour les SHS : introduction à la programmation pour le traitement de données /,"Schultz, Emilien, 1987-","Python pour les SHS : introduction à la programmation pour le traitement de données / is a book by Schultz, Emilien, 1987-. It is associated with the following themes: Sciences humaines--Recherche--Informatique, Sciences sociales--Informatique, Python (langage de programmation), Python (Computer program language). The book is published by Presses universitaires de Rennes.",,,Local metadata fallback,
58,A silent voice /,"Oima, Yoshitoki, 1989-","Shoya is a bully. When Shoko, a girl who can’t hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children’s cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late?",A Silent Voice T01,,Open Library ISBN -> Work,9782355927713
59,L'appel de Néron /,"Yamazaki, Mari","L'appel de Néron / is a book by Yamazaki, Mari. It is associated with the following themes: Bandes dessinées. The book is published by Castermann.",,,Local metadata fallback,
60,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... / is a book from the catalog. It is associated with the following themes: Internet, Internet--Gestion, Internet--Droit, Systèmes informatiques--Mesures de sûreté. The book is published by Editions Eyrolles.",,,Local metadata fallback,
61,Hoodoo darlin' /,"Bischoff, Léonie","Hoodoo darlin' / is a book by Bischoff, Léonie. It is associated with the following themes: Bandes dessinées. The book is published by KSTR-Casterman.",,,Local metadata fallback,
62,Les médias en Suisse /,"Haver, Gianni","Les médias en Suisse / is a book by Haver, Gianni. It is associated with the following themes: Médias--Suisse, Médias et opinion publique, Société médiatique, Médias--Histoire. The book is published by Editions Loisirs et Pédagogie.",,,Local metadata fallback,
63,Bonjour Bonsoir /,Vamille,Bonjour Bonsoir / is a book by Vamille. It is associated with the following themes: Bandes dessinées. The book is published by La Joie de lire.,,,Local metadata fallback,
64,Journal inquiet d'Istanbul /,"Karabulut, Ersin","Journal inquiet d'Istanbul / is a book by Karabulut, Ersin. It is associated with the following themes: Bandes dessinées. The book is published by Dargaud.",,,Local metadata fallback,
65,Le design des bibliothèques publiques /,"Beudon, Nicolas","Le design des bibliothèques publiques / is a book by Beudon, Nicolas. It is associated with the following themes: Libraries, Architecture, Marchandisage, Bibliothèques publiques, Bibliothèques--Activités culturelles. The book is published by Editions Klog.",,,Local metadata fallback,
66,Contrition /,"Portela, Carlos, 1967-.....","Contrition / is a book by Portela, Carlos, 1967-...... It is associated with the following themes: Délinquants sexuels, Bandes dessinées policières, Bandes dessinées. The book is published by Denoël.",,,Local metadata fallback,
67,Les contraceptés : enquête sur le dernier tabou /,"Daudin, Guillaume","Les contraceptés : enquête sur le dernier tabou / is a book by Daudin, Guillaume. It is associated with the following themes: Contraceptive Devices, Male, Contraception, Contraception masculine, Bandes dessinées, Graphic Novel. The book is published by Steinkis.",,,Local metadata fallback,
68,Formose /,"Li-Chin, Li 1973-....","""Li-Chin Lin, née en 1973 dans la campagne taïwanaise, vit en France depuis maintenant dix ans. Dans cette autobiographie, elle raconte son enfance tiraillée entre la culture de sa famille et la doxa officielle. Elle montre comment le régime dictatorial de Kuomintang a dirigé l'île d'une main de fer quasiment sans interruption depuis 1949, pratiquant un endoctrinement quotidien de la population taïwanaise en général et des enfants en particulier. Confrontée dès son plus jeune âge aux contradictions du régime, Li-Chin Lin fait partie de la génération marquée par le soulèvement de Tian'anmen, qui sera amenée à remettre en question le culte de la personnalité de Chiang Kaï-Chek et du parti unique."" --",Formose,,Open Library ISBN,9782916207629
69,Les mers du Sud /,"Migoya, Hernán","Les mers du Sud / is a book by Migoya, Hernán. It is associated with the following themes: Bandes dessinées. The book is published by Dargaud.",,,Local metadata fallback,
70,Fudafudak : l'endroit qui scintille /,"Li-Chin, Li 1973-....","Fudafudak : l'endroit qui scintille / is a book by Li-Chin, Li 1973-..... It is associated with the following themes: Bandes dessinées, Amis (Taiwan people), Comic books, strips, etc., Graphic novels, Taiwan aborigines--Social life and customs. The book is published by Cà et là.",,,Local metadata fallback,
71,Les sentiments du Prince Charles /,"Strömquist, Liv 1978-....","Les sentiments du Prince Charles / is a book by Strömquist, Liv 1978-..... It is associated with the following themes: Relations hommes-femmes, Bandes dessinées. The book is published by Rackham.",,,Local metadata fallback,
72,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,"Abplanalp, Susanne","Le savoir-vivre professionnel : conseils pratiques et usages en Suisse / is a book by Abplanalp, Susanne. It is associated with the following themes: Sociologie du travail, Relations professionnelles--Suisse--20e siècle, Relations humaines, Savoir-vivre--Guides pratiques. The book is published by Editions Loisirs et Pédagogie.",,,Local metadata fallback,
73,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,"Schwaab, Jean Christophe, 1979-","Le droit du travail en Suisse : 90 questions-réponses issues de la pratique / is a book by Schwaab, Jean Christophe, 1979-. It is associated with the following themes: Droit du travail--Suisse, Arbeitsrecht, Arbeitsvertrag, Schweiz, Lehrmittel. The book is published by LEP Loisirs et pédagogie.",,,Local metadata fallback,
74,Turing à la plage : l'intelligence artificielle dans un transat /,"Guerraoui, Rachid","Turing à la plage : l'intelligence artificielle dans un transat / is a book by Guerraoui, Rachid. It is associated with the following themes: Informatique quantique, Turing, Alan, Intelligence artificielle. The book is published by Dunod.",,,Local metadata fallback,
75,GTO : great teacher onizuka /,"Fujisawa, Tohru","GTO : great teacher onizuka / is a book by Fujisawa, Tohru. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Pika.",,,Local metadata fallback,
76,Silver spoon = La cuillère d'argent /,"Arakawa, Hiromu, 1973-","Silver spoon = La cuillère d'argent / is a book by Arakawa, Hiromu, 1973-. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Kurokawa.",,,Local metadata fallback,
77,Ici /,"McGuire, Richard","""Richard McGuire's Here is the story of a corner of a room and the events that happened in that space while moving forward and backward in time. The book experiments with formal properties of comics, using multiple panels to convey the different moments in time. Hundreds of thousands of years become interwoven. A dinosaur from 100,000,000 BCE lumbers by, while a child is playing with a plastic toy that resembles the same dinosaur in the year 1999. Conversations appear to be happening between two people who are centuries apart. Someone asking, ""Anyone seen my car keys?"" can be ""answered"" by someone at a future archeology dig. Cycles of glaciers transform into marshes, then into forests, then into farmland. A city develops and grows into a suburban sprawl. Future climate changes cause the land to submerge, if only temporarily, for the long view reveals the transient nature of all things. Meanwhile, the attention is focused on the most ordinary moments and appreciating them as the most transcendent""--",Ici,,Open Library ISBN -> Work,9782070652440
78,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-","Fullmetal alchemist / is a book by Arakawa, Hiromu, 1973-. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Kurokawa.",,,Local metadata fallback,
79,La vierge de fer /,"Kishiro, Yukito","La vierge de fer / is a book by Kishiro, Yukito. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Glénat.",,,Local metadata fallback,
80,Erased /,"Sanbe, Kei","Erased / is a book by Sanbe, Kei. It is associated with the following themes: Mangas, Bandes dessinées. The book is published by Ki-oon.",,,Local metadata fallback,
81,Kokkoku /,"Horio, Seita","Kokkoku / is a book by Horio, Seita. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Glénat.",,,Local metadata fallback,
82,Voleuse /,"Bryon, Lucie","Voleuse / is a book by Bryon, Lucie. It is associated with the following themes: Bandes dessinées. The book is published by Sarbacane.",,,Local metadata fallback,
83,L'ora del caffè : manuale di conversazione per generazioni incompatibili /,"Carofiglio, Gianrico, 1961-","L'ora del caffè : manuale di conversazione per generazioni incompatibili / is a book by Carofiglio, Gianrico, 1961-. The book is published by Einaudi.",,,Local metadata fallback,
84,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,"Ellis, Grace 19..-....","Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith / is a book by Ellis, Grace 19..-..... It is associated with the following themes: Bandes dessinées. The book is published by Editions Calmann-Lévy.",,,Local metadata fallback,
85,Monsieur Remarquable /,"Tokarczuk, Olga","Monsieur Remarquable / is a book by Tokarczuk, Olga. The book is published by Format.",,,Local metadata fallback,
86,Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki 1993-....,Kimchi baguette : journal de bord d'une Coréenne en France ! / is a book by Silki 1993-..... It is associated with the following themes: Bandes dessinées. The book is published by Dargaud.,,,Local metadata fallback,
87,Océan express /,"Ayroles, François","Océan express / is a book by Ayroles, François. It is associated with the following themes: Bandes dessinées. The book is published by L'Association.",,,Local metadata fallback,
88,Le petit robot de bois et la princesse bûche /,"Gauld, Tom","Le petit robot de bois et la princesse bûche / is a book by Gauld, Tom. It is associated with the following themes: Robots, Frères et soeurs, Livres d'images. The book is published by l'École des loisirs.",,,Local metadata fallback,
89,La mort n'est que le début... de l'enquête du médecin légiste /,"Grabherr, Silke","La mort n'est que le début... de l'enquête du médecin légiste / is a book by Grabherr, Silke. It is associated with the following themes: Médecine légale, Thanatologie, Cadavres, Forensic Medicine--trends, Autopsy--methods. The book is published by Favre.",,,Local metadata fallback,
90,The talk : tu seras toujours un danger à leurs yeux /,"Bell, Darrin 19..-....","The talk : tu seras toujours un danger à leurs yeux / is a book by Bell, Darrin 19..-..... It is associated with the following themes: Bandes dessinées, Conditions sociales--États-Unis, Noirs américains--Violence envers. The book is published by Julliard.",,,Local metadata fallback,
91,Kaiju N°8 /,"Matsumoto, Naoya","Kaiju N°8 / is a book by Matsumoto, Naoya. It is associated with the following themes: Shônen, Mangas. The book is published by Kazé.",,,Local metadata fallback,
92,Le sablier /,"Ashihara, Hinako","Le sablier / is a book by Ashihara, Hinako. It is associated with the following themes: Bandes dessinées, Mangas. The book is published by Kana.",,,Local metadata fallback,
93,Hirayasumi /,"Shinzo, Keigo, 1987-","Hirayasumi / is a book by Shinzo, Keigo, 1987-. It is associated with the following themes: Mangas, Mangas.. The book is published by Le Lezard noir.",,,Local metadata fallback,
94,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,"García, Vivien 1983-....","Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle / is a book by García, Vivien 1983-..... It is associated with the following themes: Intelligence artificielle. The book is published by Payot & Rivages.",,,Local metadata fallback,
95,Akane banashi /,"Suenaga, Yuki 19..-....","Akane banashi / is a book by Suenaga, Yuki 19..-..... It is associated with the following themes: Mangas, Mangas.. The book is published by Ki-oon.",,,Local metadata fallback,
96,Des maux à dire /,"Lema, Beatriz 1985-....","**Maman, raconte-moi une histoire…** L’enfance est le règne de l’imagination… Mais pas toujours un conte de fées. Pour Vera, malgré les monstres et les sorcières sortis tout droit de la tête de sa mère, atteinte de démona, le happy end tarde à venir. Elle se souvient… Les visites chez la chaman, pour l’exorciser d’un mystérieux mal qui aurait pris possession d’elle ; sa mère clouée au lit plusieurs jours d’affilée, prétendant qu’un démon la harcèle en tambourinant sur ses nerfs ; le silence imposé à la maison, les jours suivants, pour ne pas réveiller le monstre ; les rendez-vous chez le psychiatre, au cours desquels le diagnostic se dessine, année après année… Et puis, face à cette mère abusive, suspicieuse et paranoïaque, traumatisée par son propre père et qui a perdu foi en les hommes, un mari dépassé qui s’efface du foyer à mesure que la maladie mentale de sa femme s’installe.",Des maux à dire,,Open Library ISBN,9791040802396
97,Il y a longtemps que je t'aime /,"Spénale, Marie","Il y a longtemps que je t'aime / is a book by Spénale, Marie. It is associated with the following themes: Bandes dessinées. The book is published by Casterman.",,,Local metadata fallback,
98,Regarde les lumières mon amour /,"Ernaux, Annie","Regarde les lumières mon amour / is a book by Ernaux, Annie. The book is published by Seuil.",,,Local metadata fallback,
99,Peau /,"Versyp, Mieke 1965-....","Peau / is a book by Versyp, Mieke 1965-..... It is associated with the following themes: Bandes dessinées., Romans graphiques.. The book is published by Çà et là.",,,Local metadata fallback,
